ticker,mean_error,std_error,feature_importances,mean_r2,std_r2
MET,0.0003567757321984898,0.00036009318888739853,"[0.06501718 0.0846735  0.10880438 0.13979265 0.09411418 0.09223379
 0.12223943 0.10300307 0.0902956  0.09982627]",-1.2218492515312043,1.6298238000763126
CBRE,0.0004554866888125963,0.00045700010731173133,"[0.07379206 0.08734038 0.10655233 0.09486309 0.12383111 0.09874906
 0.13132264 0.10209972 0.08829204 0.09315757]",-1.0947938590009538,1.675904013003762
CF,0.0005885294983110531,0.00036015122586427933,"[0.0650106  0.09868134 0.09851309 0.10885714 0.08888831 0.10177201
 0.1078789  0.10464333 0.10957772 0.11617753]",-1.5388769065613903,3.165922486288047
KMB,0.00012862470648040728,9.806833464729147e-05,"[0.08112576 0.08083561 0.1030791  0.10682609 0.10167453 0.09461092
 0.10138115 0.12516062 0.09225828 0.11304788]",-0.9022519201170153,1.4911761961808
PM,0.00015666873869720112,0.00013067620576318346,"[0.08572841 0.10200962 0.1289853  0.08862656 0.11018202 0.07962522
 0.10787433 0.08934831 0.10970334 0.09791686]",-1.9057176172423709,3.4884325832898733
WEC,0.0002518492116851207,0.00024986554037289714,"[0.08608618 0.09059694 0.10643451 0.10751352 0.12315787 0.09666236
 0.08853432 0.10371683 0.11101137 0.08628609]",-1.1912300218482623,1.4243831198464472
SRE,0.00019276286975981294,0.00013222960100001005,"[0.072482   0.07783636 0.0623417  0.09383985 0.08539762 0.12830968
 0.09756625 0.11654592 0.18222393 0.08345667]",-1.5862621709116025,4.779499691754628
FDX,0.00037207756998951843,0.0005511972131866335,"[0.07047062 0.08967693 0.08841261 0.09094741 0.11559428 0.10119988
 0.13519202 0.11265837 0.10120767 0.09464025]",-1.1572703667734099,1.641138703957478
IVZ,0.0005645121372195735,0.0009519147787973173,"[0.06134022 0.08232639 0.0822607  0.14302464 0.11416364 0.08893499
 0.09083187 0.1161424  0.1110865  0.10988858]",-0.617503123914448,1.2004386433341325
CTRA,0.00044665756748905725,0.00042997600389628845,"[0.07920394 0.0805821  0.11155307 0.09641394 0.09851183 0.1000635
 0.10138561 0.10943115 0.10868362 0.11417128]",-0.89115207873457,1.371890570760942
ES,0.0003789860953338767,0.00036090859892014715,"[0.06741666 0.10199074 0.10350142 0.11481352 0.09978967 0.11055604
 0.08711889 0.13529581 0.10257185 0.07694545]",-1.6078062376363063,2.388214883216893
LRCX,0.0008168485468025216,0.0007673099604668675,"[0.07300672 0.09480278 0.08570997 0.12103046 0.10442241 0.10959886
 0.09628799 0.11977153 0.10448725 0.09088209]",-1.0427321609787228,1.8941163979487183
MRO,0.0006381009213360998,0.0005559947548172005,"[0.07657348 0.07247611 0.1228125  0.10229671 0.10650652 0.0951629
 0.08548175 0.09576293 0.12209568 0.12083148]",-1.2897989691433107,2.2944078206043685
GIS,0.0001972640991720039,0.00015731867656293592,"[0.07254858 0.10646474 0.10047824 0.10447446 0.09186426 0.11139063
 0.08664669 0.11383405 0.10544413 0.10685416]",-1.62473080228298,2.369802195826391
JBHT,0.0003751889058850976,0.00031390193095451763,"[0.06823003 0.0864098  0.11693947 0.08127279 0.12093476 0.10804934
 0.09620632 0.10329828 0.11514498 0.10351422]",-0.9911788196990384,2.5387367001262757
