Ticker,DJIA,DJIA,DJIA,DJIA,DJIA,DJIA,^N225,^N225,^N225,^N225,^N225,^N225,^HSI,^HSI,^HSI,^HSI,^HSI,^HSI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,000300.SS,000300.SS,000300.SS,000300.SS,000300.SS,000300.SS,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Price,Open,High,Low,Close,Volume,Repaired?,Open,High,Low,Close,Volume,Repaired?,Open,High,Low,Close,Volume,Repaired?,Open,High,Low,Close,Volume,Repaired?,Open,High,Low,Close,Volume,Repaired?,Open,High,Low,Close,Volume,Repaired?
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04 00:00:00+00:00,,,,,,,10609.33984375,10694.490234375,10608.1396484375,10654.7900390625,104400000.0,False,21860.0390625,22024.830078125,21689.220703125,21823.279296875,1006199600.0,False,5200.89990234375,5238.4501953125,5167.10009765625,5232.2001953125,0.0,False,,,,,,,1116.56005859375,1133.8699951171875,1116.56005859375,1132.989990234375,3991400000.0,False
2010-01-05 00:00:00+00:00,,,,,,,10719.4404296875,10791.0400390625,10655.5703125,10681.830078125,166200000.0,False,22092.150390625,22297.0390625,21987.26953125,22279.580078125,1965584800.0,False,5277.14990234375,5288.35009765625,5242.39990234375,5277.89990234375,0.0,False,,,,,,,1132.6600341796875,1136.6300048828125,1129.6600341796875,1136.52001953125,2491020000.0,False
2010-01-06 00:00:00+00:00,,,,,,,10709.5498046875,10768.6103515625,10661.169921875,10731.4501953125,181800000.0,False,22357.4609375,22514.7890625,22277.130859375,22416.669921875,2100234000.0,False,5278.14990234375,5310.85009765625,5260.0498046875,5281.7998046875,0.0,False,,,,,,,1135.7099609375,1139.18994140625,1133.949951171875,1137.1400146484375,4972660000.0,False
2010-01-07 00:00:00+00:00,,,,,,,10742.75,10774.0,10636.669921875,10681.66015625,182600000.0,False,22548.029296875,22548.029296875,22169.609375,22269.44921875,1495365300.0,False,5281.7998046875,5302.5498046875,5244.75,5263.10009765625,0.0,False,,,,,,,1136.27001953125,1142.4599609375,1131.3199462890625,1141.68994140625,5270680000.0,False
2010-01-08 00:00:00+00:00,,,,,,,10743.2998046875,10816.4501953125,10677.5595703125,10798.3203125,211800000.0,False,22282.75,22443.220703125,22206.16015625,22296.75,1626022600.0,False,5264.25,5276.75,5234.7001953125,5244.75,0.0,False,,,,,,,1140.52001953125,1145.3900146484375,1136.219970703125,1144.97998046875,4389590000.0,False
2010-01-11 00:00:00+00:00,,,,,,,,,,,,,22524.1796875,22671.919921875,22373.9609375,22411.51953125,1744637600.0,False,5263.7998046875,5287.2001953125,5227.7998046875,5249.39990234375,0.0,False,,,,,,,1145.9599609375,1149.739990234375,1142.02001953125,1146.97998046875,4255780000.0,False
2010-01-12 00:00:00+00:00,,,,,,,10770.349609375,10905.3896484375,10763.6796875,10879.1396484375,192800000.0,False,22378.23046875,22476.119140625,22192.98046875,22326.640625,2204776800.0,False,5251.10009765625,5300.5,5200.9501953125,5210.39990234375,0.0,False,,,,,,,1143.81005859375,1143.81005859375,1131.77001953125,1136.219970703125,4716160000.0,False
2010-01-13 00:00:00+00:00,,,,,,,10795.48046875,10866.6201171875,10729.8603515625,10735.0302734375,250000000.0,False,21990.6796875,22012.0390625,21688.169921875,21748.599609375,3414190400.0,False,5212.60009765625,5239.2001953125,5169.5498046875,5233.9501953125,0.0,False,,,,,,,1137.31005859375,1148.4000244140625,1133.1800537109375,1145.6800537109375,4170360000.0,False
2010-01-14 00:00:00+00:00,,,,,,,10778.0703125,10909.9404296875,10774.25,10907.6796875,267300000.0,False,21871.009765625,21988.9296875,21707.099609375,21716.94921875,2338667600.0,False,5234.5,5272.85009765625,5232.5,5259.89990234375,0.0,False,,,,,,,1145.6800537109375,1150.4100341796875,1143.800048828125,1148.4599609375,3915200000.0,False
